team,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
G大阪,1,3,3,8,3,2,3,17,-1,1,2,4,10
甲府,-1,15,17,0,0,-1,16,-1,15,13,13,14,16
FC東京,10,13,12,6,5,16,-1,10,8,9,4,9,13
磐田,6,5,9,16,11,11,8,12,17,0,-1,13,6
名古屋,14,7,11,4,9,1,2,7,11,10,9,16,-1
大宮,13,12,15,12,13,12,13,13,14,16,-1,5,18
川崎F,8,2,5,2,2,5,11,8,3,6,6,3,1
広島,7,10,16,-1,4,7,7,1,1,8,1,6,15
横浜FM,9,9,7,9,10,8,5,4,2,7,7,10,5
浦和,2,1,2,7,6,10,15,3,6,2,3,2,7
千葉,4,11,13,15,18,0,0,0,0,0,0,0,0
新潟,12,14,6,13,8,9,14,15,7,12,15,15,17
清水,14,4,4,5,7,6,10,9,9,15,17,-1,14
鹿島,3,6,1,1,1,4,6,11,5,3,5,1,2
京都,-1,18,-1,14,12,17,0,0,0,0,0,0,0
福岡,-1,16,0,0,0,-1,17,0,0,0,-1,18,0
大分,11,8,14,4,17,0,0,-1,18,0,0,0,0
C大阪,5,17,0,0,-1,3,12,14,4,17,0,-1,3
柏,16,-1,8,11,16,-1,1,6,10,4,10,8,4
横浜FC,0,-1,18,0,0,0,0,0,0,0,0,0,0
神戸,18,-1,10,10,14,15,9,16,-1,11,12,7,9
札幌,0,0,-1,18,0,0,-1,18,0,0,0,-1,11
東京V,17,0,-1,17,0,0,0,0,0,0,0,0,0
山形,0,0,0,-1,15,13,18,0,0,-1,18,0,0
湘南,0,0,0,0,-1,18,0,-1,16,-1,8,17,-1
仙台,0,0,0,0,-1,14,4,2,13,14,14,12,12
鳥栖,0,0,0,0,0,0,-1,5,12,5,11,11,8
徳島,0,0,0,0,0,0,0,-1,18,0,0,0,0
松本,0,0,0,0,0,0,0,0,0,-1,16,0,0
長崎,0,0,0,0,0,0,0,0,0,0,0,0,-1
